epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,4.607618780625172,4.608958718109131,1.3,5.31,1e-05
1,4.5898626486460365,4.514036227416992,3.46,14.63,0.020008
2,4.542618169540014,4.367847362518311,4.85,18.99,0.04000600000000001
3,4.50423554396018,4.261717218017578,5.86,20.3,0.06000400000000001
4,4.474795348827655,4.185987731933594,6.52,22.75,0.080002
5,4.441335248947143,4.021139901733399,9.24,27.28,0.09993148359005492
6,4.409819464805799,3.9590308547973634,9.51,29.53,0.09990134628777145
7,4.3853229204813635,3.8821420497894286,10.45,31.12,0.09986573728883678
8,4.3583456650758405,3.801625721359253,11.91,35.63,0.09982466049817898
9,4.327179939318926,3.774402449798584,12.28,34.65,0.09977812042033099
10,4.298540037106245,3.6480539070129394,14.81,39.86,0.09972612215893682
11,4.2618815513757555,3.5659518287658694,16.71,43.2,0.09966867141619182
12,4.244153953821231,3.5553656448364257,16.59,42.35,0.09960577449221733
13,4.207774612231132,3.4751182014465334,18.32,45.57,0.09953743828436983
14,4.1861023627794705,3.257899132156372,20.54,48.97,0.09946367028648462
15,4.1516203886423355,3.1775853649139405,23.72,53.63,0.09938447858805392
16,4.124939862887064,3.226272454071045,22.36,51.17,0.0992998718733399
17,4.094453054819351,3.0548968074798584,24.79,55.99,0.09920985942042225
18,4.0582366118064295,3.0530110832214357,27.23,58.49,0.0991144511001808
19,4.0450584307695046,2.9789789821624755,27.19,58.73,0.09901365737521299
20,3.9822290493891788,3.2178381786346435,22.25,50.74,0.09890748929868662
21,3.968049010863671,2.7631025802612306,31.58,63.46,0.09879595851312768
22,3.9557356430934028,2.705116229248047,31.41,64.24,0.09867907724914365
23,3.9180104518548036,2.6719193325042725,32.43,64.27,0.09855685832408226
24,3.886085727887276,2.5712363246917724,34.03,66.56,0.09842931514062592
25,3.8631483475367228,2.7214467750549316,30.69,64.46,0.09829646168532197
26,3.8717340744458713,2.580447869873047,33.72,67.12,0.09815831252704893
27,3.8410995244979858,2.479674991607666,37.63,69.74,0.09801488281541877
28,3.7993819860311655,2.4644238655090334,37.14,68.68,0.0978661882791157
29,3.7766261473680154,2.265547724914551,42.2,74.19,0.09771224522417127
30,3.763434918721517,2.3553728706359864,39.23,71.88,0.09755307053217621
31,3.7611457995879345,2.4280058681488037,40.19,72.37,0.09738868165842925
32,3.696311494631645,2.256704002380371,41.71,73.9,0.09721909663002287
33,3.714445065229367,2.170983020401001,44.87,77.31,0.09704433404386652
34,3.6796295814025095,2.195367263031006,44.68,76.51,0.09686441306464712
35,3.7114632655412723,2.212544564437866,43.84,76.07,0.0966793534227276
